adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Niger,Tillaberi,Ville De Tillaberi,69221,3,27688,22843,15229,3461,0,18690,3,3,2,3,24.3,33.7,42,4,53.7,22.3,14.8,6.7,2.5,3,41.9,12.8,43.8,0.8,0.6,3,37.2,27.3,21.7,13.8,3,40.1,48.3,11.8,2
Niger,Zinder,Belbedji,143351,2,90311,45872,7168,0,0,7168,2,2,3,4,11.2,19.1,69.7,3,72.1,15.8,9.1,2.5,0.6,2,95.1,2.7,1.3,0.5,0.4,1,66.6,6.1,16.7,10.7,3,62.8,34.7,2.5,2
Niger,Zinder,Damagaram Takaya,358436,2,275996,57350,25091,0,0,25091,2,2,3,4,14.1,34.3,51.6,3,54.6,23.3,13.2,5.3,3.6,3,70.8,2.1,19.2,4.4,3.5,3,53.9,9.2,22.9,14,3,73.6,21.8,4.6,2
Niger,Zinder,Dungass,525933,2,410227,84149,31556,0,0,31556,1,2,3,4,42.3,37.2,20.6,4,33.5,25.3,23.6,13.7,4,3,84.8,5.1,10.2,0,0,1,51.2,28.8,7.3,12.7,3,86.5,12.1,1.4,1
Niger,Zinder,Goure,487217,2,370285,87699,29233,0,0,29233,2,2,3,4,9.2,11.1,79.7,2,56.7,20.2,11.4,8,3.6,3,72.3,9,11.9,5.7,1.1,2,59.6,7.6,24.3,8.5,3,80.2,19,0.9,1
Niger,Zinder,Kantche,593280,2,427162,148320,17798,0,0,17798,1,2,3,4,15.4,24.7,59.9,3,57.3,14.5,11.8,12.3,4.1,3,98.7,0.2,1.1,0,0,1,93.1,3.1,1.6,2.2,1,97.2,1.9,0.9,1
Niger,Zinder,Magaria,858667,2,626827,188907,42933,0,0,42933,2,2,3,4,19.7,35.9,44.4,3,46.4,25.1,18.4,7.2,2.9,3,97.5,0.9,1.6,0,0,1,54.1,16.6,19.6,9.8,3,82.9,16,1.1,1
Niger,Zinder,Mirriah,754267,2,543072,165939,45256,0,0,45256,1,2,3,4,6.9,31.9,61.3,2,63,23.8,8.4,4.4,0.3,2,100,0,0,0,0,1,67.4,16.9,12.5,3.1,2,83.6,16.2,0.2,1
Niger,Zinder,Takeita,366832,1,300802,47688,18342,0,0,18342,1,1,3,4,9.8,18.5,71.6,2,85,12.3,2.5,0.3,0,1,99.7,0.3,0,0,0,1,96.5,2.5,1,0,1,100,0,0,1
Niger,Zinder,Tanout,637821,2,484744,108430,44647,0,0,44647,2,1,3,4,16,23.6,60.4,3,72.2,13.8,8.8,3.1,2,2,99.5,0.5,0,0,0,1,89.6,4.2,2,4.2,1,93.1,6.9,0,1
Niger,Zinder,Tesker,55187,1,45253,8278,1656,0,0,1656,1,1,3,4,4.8,9.9,85.4,1,75.2,14.9,2.7,6.4,0.8,2,98.6,0.4,0,0,1,1,85.5,12.1,1.3,1.1,1,96.4,2.4,1.2,1
Niger,Zinder,Ville De Zinder,479960,2,359970,110391,9599,0,0,9599,2,2,3,4,16.3,27.3,56.4,3,57.9,20.1,12.6,6.9,2.5,3,91.8,2.2,4.5,1.1,0.4,1,69.5,12,12.3,6.2,2,86,13,1.1,1
